talk_id,speaker_occupation
1415,activist
1416,biologist
1416,community science advocate
1417,model
1418,dermatologist
1419,proud dad
1420,reporter
1421,former u.s. secretary of state
1422,surgeon
1422,technologist
1423,writer
1424,policy entrepreneur
1425,computer scientist
1426,photographer
1427,food security expert
1428,inspirer
1429,activist
1430,science enthusiast
1431,video maker
1432,chemist
1433,politician
1434,educator
1435,experimental micromechanics pioneer
1436,complex systems theorist
1437,relationship therapist
1438,writer
1439,neuroscientist
1440,behavioral economist
1441,transparency activist
1442,education surveyor
1443,biologist
1444,writer
1445,roboticist
1446,education researcher
1447,former governor of michigan
1448,musician
1448,blogger
1449,grassland ecosystem pioneer
1450,marine biologist
1451,gardener
1452,educator
1452,activist
1453,poet
1454,author
1454,speaker
1454,reformer
1455,neurobiologist
1456,environmentalist
1456,futurist
1457,musician
1457,activist
1458,maker
1459,computer theorist
1460,serial entrepreneur
1461,activist
1462,geneticist
1462,physician
1463,composer
1463,conductor
1464,engineer
1464,biodiversity scientist
1465,macroencapsulator
1466,inventor
1467,behavioral economist
1468,mechanical engineer
1469,ornithologist
1470,roboticist
1471,legal activist
1472,inventor
1473,know-it-all
1474,educator
1475,robotics entrepreneur
1476,behavioral economist
1477,social scientist
1478,science historian
1479,curious journalist
1480,neuroscientist
1480,psychiatrist
1481,journalist
1482,neurosurgeon
1483,yo-yo champion
1484,linguist
1485,economist
1486,innovation researcher
1487,youtube educator
1488,research scientist
1489,technology columnist
1490,corporate director
1490,author
1491,nuclear scientist
1492,photojournalist
1493,futurist
1494,educator
1495,economist
1496,technologist
1496,entrepreneur
1497,philanthropist
1498,educator
1499,teacher
1500,poet
1500,performer
1500,activist
1501,education reformer
1502,psychologist
1503,author
1503,educator
1504,clinical psychologist
1505,computer engineer
1506,artist
1507,inventor
1508,computer scientist
1508,entrepreneur
